Object Number,Collection,Name,Description,combined_text,Maker,Place Made,Date Made,Materials,Measurements,Collection Online Title
1979-31/6,SCM - Textiles Machinery,,"Ribber needle dial: one of two, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",": Ribber needle dial: one of two, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,steel (metal); paint,,"Ribber needle dial: one of two, from ëGolden Fleeceí knitting machine"
1979-31/7,SCM - Textiles Machinery,,"Ribber needle dial: one of two, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",": Ribber needle dial: one of two, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,steel (metal); paint,,"Ribber needle dial: one of two, from ëGolden Fleeceí knitting machine"
1979-31/8,SCM - Textiles Machinery,,"Weight support base, 88mm diameter, cast iron, with steel screw-attached suspension attachment: one of three, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",": Weight support base, 88mm diameter, cast iron, with steel screw-attached suspension attachment: one of three, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,steel (metal); cast iron; paint,,"Weight support base, 88mm diameter, from ëGolden Fleeceí knitting machine"
1979-31/9,SCM - Textiles Machinery,,"Weight support base, 64mm diameter: one of two, cast iron, with steel screw-attached suspension attachment: one of three, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",": Weight support base, 64mm diameter: one of two, cast iron, with steel screw-attached suspension attachment: one of three, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,steel (metal); cast iron; paint,,"Weight support base, 64mm diameter, from ëGolden Fleeceí knitting machine"
1979-31/10,SCM - Textiles Machinery,,"Weight support base, 64mm diameter: one of two, cast iron, with steel screw-attached suspension attachment: one of three, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",": Weight support base, 64mm diameter: one of two, cast iron, with steel screw-attached suspension attachment: one of three, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,steel (metal); cast iron; paint,,"Weight support base, 64mm diameter, from ëGolden Fleeceí knitting machine"
1979-31/11,SCM - Textiles Machinery,weights,"Cast iron weight, one of six - to fit 64mm diameter weight support base - used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920","weights: Cast iron weight, one of six - to fit 64mm diameter weight support base - used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,cast iron; paint,,"Cast iron weight, one of six, used with ëGolden Fleeceí knitting machine"
1979-31/12,SCM - Textiles Machinery,weights,"Cast iron weight, one of six - to fit 64mm diameter weight support base - used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920","weights: Cast iron weight, one of six - to fit 64mm diameter weight support base - used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,cast iron; paint,,"Cast iron weight, one of six, used with ëGolden Fleeceí knitting machine"
1979-31/13,SCM - Textiles Machinery,weights,"Cast iron weight, one of six - to fit 64mm diameter weight support base - used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920","weights: Cast iron weight, one of six - to fit 64mm diameter weight support base - used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,cast iron; paint,,"Cast iron weight, one of six, used with ëGolden Fleeceí knitting machine"
1979-31/14,SCM - Textiles Machinery,weights,"Cast iron weight, one of six - to fit 64mm diameter weight support base - used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920","weights: Cast iron weight, one of six - to fit 64mm diameter weight support base - used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,cast iron; paint,,"Cast iron weight, one of six, used with ëGolden Fleeceí knitting machine"
1979-31/15,SCM - Textiles Machinery,weights,"Cast iron weight, one of six - to fit 64mm diameter weight support base - used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920","weights: Cast iron weight, one of six - to fit 64mm diameter weight support base - used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,cast iron; paint,,"Cast iron weight, one of six, used with ëGolden Fleeceí knitting machine"
1979-31/16,SCM - Textiles Machinery,weights,"Cast iron weight, one of six - to fit 64mm diameter weight support base - used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920","weights: Cast iron weight, one of six - to fit 64mm diameter weight support base - used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,cast iron; paint,,"Cast iron weight, one of six, used with ëGolden Fleeceí knitting machine"
1979-31/17,SCM - Textiles Machinery,,"Ribber arm, attached to ribber dial and tappet plate, used with 'Golden Fleece' knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",": Ribber arm, attached to ribber dial and tappet plate, used with 'Golden Fleece' knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,steel (metal); paint,,"Ribber arm, on ribber dial and tappet plate, used with 'Golden Fleece' knitting machine"
1979-31/18,SCM - Textiles Machinery,bobbin,"Bobbin, oak-wood, one of two, round at one end and fitted at other end with 71mm diameter baseplate, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920","bobbin: Bobbin, oak-wood, one of two, round at one end and fitted at other end with 71mm diameter baseplate, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,oak (wood),,"Bobbin, oak-wood, one of two, round at one end, used with ëGolden Fleeceí knitting machine"
1979-31/19,SCM - Textiles Machinery,bobbin,"Bobbin, oak-wood, one of two, one of two, pointed at one end and fitted at other end with 62mm diameter baseplate, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920","bobbin: Bobbin, oak-wood, one of two, one of two, pointed at one end and fitted at other end with 62mm diameter baseplate, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,oak (wood),,"Bobbin, oak-wood, one of two, pointed at one end, used with ëGolden Fleeceí knitting machine"
1979-31/20,SCM - Textiles Machinery,,"G-clamp-1ºî steel - without Swivel-shoe - black painted, one of two, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",": G-clamp-1ºî steel - without Swivel-shoe - black painted, one of two, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,steel (metal); paint,,G-clamp-1ºî steel - without Swivel-shoe - used with ëGolden Fleeceí knitting machine
1979-31/21,SCM - Textiles Machinery,,"G-clamp-1ºî steel - without Swivel-shoe - black painted, one of two, with capital letters: ìLTLî and ì26î stamped on butterfly-handle, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",": G-clamp-1ºî steel - without Swivel-shoe - black painted, one of two, with capital letters: ìLTLî and ì26î stamped on butterfly-handle, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,steel (metal); paint,,G-clamp-1ºî steel - without Swivel-shoe - used with ëGolden Fleeceí knitting machine
1979-31/22,SCM - Textiles Machinery,,"Swivel-shoe, cast iron, from G-clamp-1ºî, one of two, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",": Swivel-shoe, cast iron, from G-clamp-1ºî, one of two, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,cast iron,,"Swivel-shoe, from G-clamp-1ºî, used with ëGolden Fleeceí knitting machine"
1979-31/23,SCM - Textiles Machinery,,"Swivel-shoe, cast iron, from G-clamp-1ºî, one of two, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",": Swivel-shoe, cast iron, from G-clamp-1ºî, one of two, used with ëGolden Fleeceí knitting machine, by South British Manufacturing Co. Ltd., Clerkenwell, London, England, 1900-1920",South British Manufacturing Company Limited,"Clerkenwell, Islington, London, Greater London, England, United Kingdom",1900-1920,cast iron,,"Swivel-shoe, from G-clamp-1ºî, used with ëGolden Fleeceí knitting machine"
1979-621,SCM - Textiles Machinery,lock stitch sewing machine,"Howe hand lock stitch sewing machine No. 1446443, c. 1884. With instruction book, 3 bobbins, 2 hemmers, quilting guide, attachment slide, knurled clamp screw. Extra thread reel holder, spanner, ruffler for presser foot, spare small cover plate, 5 needles","lock stitch sewing machine: Howe hand lock stitch sewing machine No. 1446443, c. 1884. With instruction book, 3 bobbins, 2 hemmers, quilting guide, attachment slide, knurled clamp screw. Extra thread reel holder, spanner, ruffler for presser foot, spare small cover plate, 5 needles",Howe Machine Company,,1884,cast iron; wrought iron; steel,overall: 260 x 410 x 230 mm,"Howe hand lock stitch sewing machine No. 1446443, "
1980-1517,SCM - Textiles Machinery,winding wheel,"Winding and counting machine, manual, for yarn and wire measuring in metres.","winding wheel: Winding and counting machine, manual, for yarn and wire measuring in metres.",Goodbrand and Company Limited,"Stalybridge, Tameside, Greater Manchester, England, United Kingdom",,brass; steel; polished wood,overall: 660 x 720 x 460 mm,"Winding and counting machine, manual, for yarn and"
1980-1701,SCM - Textiles Machinery,loom weight; componets,"Flat topped  loomweight, a stone with a hole drilled through it and used to hold down the vertical threads in a simple loom.","loom weight; componets: Flat topped  loomweight, a stone with a hole drilled through it and used to hold down the vertical threads in a simple loom.",Unknown maker,Europe,5000-500 BCE,stone; complete,overall: 63 x 35 x 33 mm,"Flat-topped Loom Weight, Stone Age"
